 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.x1.xmb6.msky130_fd_ m.x1.xmb5.msky130_fd_ m.x1.xmb4.msky130_fd_
      model x1.xmb6:sky130_fd_pr_ x1.xmb5:sky130_fd_pr_ x1.xmb4:sky130_fd_pr_
        csd          -2.45924e-16          -6.62288e-14            4.8178e-17
        css           1.44154e-13           8.18263e-13           9.99149e-14
        cgb          -2.79733e-14          -6.86828e-13           -1.7677e-14
        cdb          -1.90039e-14           -1.0833e-13           -1.4077e-14
        csb          -2.84766e-14          -1.60145e-13           -2.1022e-14
        cbb           7.54538e-14           9.55303e-13            5.2776e-14
      capbd           2.63767e-14           5.99157e-13           1.45948e-14
      capbs           4.57432e-14           7.05109e-13           1.98984e-14
         qg           1.79374e-13           2.44753e-12           1.36478e-13
         qb          -1.30947e-13          -2.22618e-12          -9.47623e-14
         qd          -1.93787e-14          -8.90098e-14          -1.67103e-14
         qs          -2.90483e-14          -1.32344e-13          -2.50059e-14
       qinv                     0                     0                     0
       qdef                     0                    -0                     0
       gcrg                     0                     0                     0
       gtau                     0                     0                     0
    vgsteff             0.0629697             0.0380311               0.12857
     vdseff             0.0863482             0.0707604              0.132066
       cgso           2.46313e-14           1.48029e-13            7.3894e-15
       cgdo           2.46313e-14           1.47916e-13            7.3894e-15
       cgbo           9.60484e-19                     0           9.80242e-20
       weff           4.95628e-06           4.98539e-06           2.99563e-05
       leff           4.76136e-07           1.77988e-07           9.76136e-07

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.x1.xm7.msky130_fd_p m.x1.xm6.msky130_fd_p m.x1.xm5.msky130_fd_p
      model x1.xm7:sky130_fd_pr__ x1.xm6:sky130_fd_pr__ x1.xm5:sky130_fd_pr__
          l                 5e-07                 1e-06                 1e-06
          w                 6e-05                 5e-06                 5e-06
          m                     1                     1                     1
         nf                     1                     1                     1
         sa                     0                     0                     0
         sb                     0                     0                     0
         sd                     0                     0                     0
        sca                     0                     0                     0
        scb                     0                     0                     0
        scc                     0                     0                     0
         sc                     0                     0                     0
        min                     0                     0                     0
         ad              1.74e-11              1.45e-12              1.45e-12
         as              1.74e-11              1.45e-12              1.45e-12
         pd            0.00012058             1.058e-05             1.058e-05
         ps            0.00012058             1.058e-05             1.058e-05
        nrd            0.00483333                 0.058                 0.058
        nrs            0.00483333                 0.058                 0.058
        off                     0                     0                     0
       rbdb                    50                    50                    50
       rbsb                    50                    50                    50
       rbpb                    50                    50                    50
       rbps                    50                    50                    50
       rbpd                    50                    50                    50
     delvto                     0                     0                     0
      mulu0                     1                     1                     1
        xgw                     0                     0                     0
      ngcon                     1                     1                     1
   trnqsmod                     0                     0                     0
   acnqsmod                     0                     0                     0
   rbodymod                     1                     1                     1
   rgatemod                     0                     0                     0
     geomod                     0                     0                     0
    rgeomod                     0                     0                     0
       gmbs           0.000255067            3.2038e-05           3.04506e-05
         gm           0.000988336           0.000137622           0.000130596
        gds           6.89645e-06           8.66684e-07           2.31404e-06
      vdsat              0.140613              0.119126              0.119126
        vth              0.996013               0.58946               0.58946
         id           8.23192e-05                 1e-05           9.45858e-06
        ibd          -1.17606e-12          -7.06411e-13          -2.49691e-13
        ibs          -7.79047e-19          -6.67951e-19           -6.3179e-19
        gbd                 1e-12                 1e-12            1.0001e-12
        gbs           1.95813e-12           1.15165e-12           1.15165e-12
       isub           1.32567e-12           7.57997e-18           1.04488e-20
      igidl                     0                     0                     0
      igisl                     0                     0                     0
        igs                     0                     0                     0
        igd                     0                     0                     0
        igb                     0                     0                     0
       igcs                     0                     0                     0
       igcd                     0                     0                     0
        vbs          -3.97827e-07          -5.79991e-07          -5.48595e-07
        vgs               1.09974               0.70134               0.70134
        vds               1.14228              0.701339              0.244623
        cgg           1.49377e-13           2.64682e-14           2.70594e-14
        cgs          -1.36036e-13          -2.33713e-14          -2.32709e-14
        cgd            3.4306e-16           -1.5235e-17          -8.53988e-16
        cbg          -3.01461e-14          -5.02975e-15          -4.65823e-15
        cbd           3.64621e-17          -9.57355e-18          -5.36638e-16
        cbs          -1.58033e-14          -3.80274e-15          -3.76641e-15
