 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xmb1.msky130_fd_pr_ m.xmb2.msky130_fd_pr_ m.xmp.msky130_fd_pr__
      model xmb1:sky130_fd_pr__pf xmb2:sky130_fd_pr__nf xmp:sky130_fd_pr__pfe
       rbpd                    50                    50
     delvto                     0                     0
      mulu0                     1                     1
        xgw                     0                     0
      ngcon                     1                     1
   trnqsmod                     0                     0
   acnqsmod                     0                     0
   rbodymod                     1                     1
   rgatemod                     0                     0
     geomod                     0                     0
    rgeomod                     0                     0
       gmbs           2.31668e-05           2.30524e-05
         gm           0.000123297           0.000122682
        gds           1.47137e-06           1.38846e-06
      vdsat             0.0461281             0.0459471
        vth              0.703686              0.703596
         id            4.6908e-06           4.66511e-06
        ibd          -6.19981e-13          -6.67096e-13
        ibs          -2.23433e-13          -2.23433e-13
        gbd                 1e-12                 1e-12
        gbs                 1e-12                 1e-12
       isub           2.78977e-20           3.14641e-20
      igidl                     0                     0
      igisl                     0                     0
        igs                     0                     0
        igd                     0                     0
        igb                     0                     0
       igcs                     0                     0
       igcd                     0                     0
        vbs             -0.223433             -0.223433
        vgs              0.677323              0.676567
        vds              0.396548              0.443663
        cgg           2.34727e-14           2.34323e-14
        cgs          -2.03814e-14           -2.0343e-14
        cgd          -2.49112e-18           8.38429e-18
        cbg           -4.8718e-15          -4.88099e-15
        cbd           -1.9609e-17          -1.24633e-17
        cbs          -1.93574e-15          -1.93272e-15
        cdg          -7.47265e-15          -7.44493e-15
        cdd           3.10352e-17           1.69655e-17
        cds            8.9441e-15           8.92484e-15
        csg          -1.11283e-14          -1.11064e-14
        csd          -8.93503e-18          -1.28864e-17
        css            1.3373e-14           1.33509e-14
        cgb          -3.08886e-15          -3.09765e-15
        cdb          -1.50249e-15          -1.49687e-15
        csb           -2.2358e-15          -2.23165e-15
        cbb           6.82714e-15           6.82617e-15
      capbd           4.09596e-15            4.0303e-15
      capbs           4.81907e-15           4.81907e-15
         qg           1.81118e-14           1.80942e-14
         qb          -1.48548e-14          -1.48519e-14
         qd          -1.30684e-15           -1.3001e-15
         qs          -1.95016e-15          -1.94228e-15
       qinv                     0                     0
       qdef                     0                     0
       gcrg                     0                     0
       gtau                     0                     0
    vgsteff             0.0174961             0.0172572
     vdseff             0.0448527             0.0448232
       cgso           2.43833e-15           2.43833e-15
       cgdo           2.43833e-15           2.43833e-15
       cgbo           4.62837e-20           4.62837e-20
       weff           1.00013e-05           1.00013e-05
       leff           4.51881e-07           4.51881e-07

